Scraped At,Section,Subcategory,Product Name,Price,Rating,Image URL,Product URL,Page
2026-02-11 10:36:38,Accessories,"Kitchen Tools
325","Self Adhesive Wall Hooks, Heavy Duty Sticky Hooks for Hanging Waterproof Transparent Adhesive Hooks for Wall, Wall Hangers for Hanging Kitchen Bathroom Bedroom Accessories(10 piece)",Rs. 150,3.7,https://g.sdlcdn.com/imgs/k/d/q/Self-Adhesive-Wall-Hooks-Heavy-SDL010976181-1-f3eca.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/self-adhesive-wall-hooks-heavy/669575238447#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:38,Accessories,"Kitchen Tools
325",Egg Cracker Tool – Multicolor Egg Shell Opener Kitchen Gadget for Easy Egg Cracking – Convenient Kitchen Tool for Cooking & Baking – Must-Have Kitchen Accessory Pack Of 1,Rs. 121,3.7,https://g.sdlcdn.com/imgs/k/3/5/Egg-Cracker-Tool-Multicolor-Egg-SDL047311803-1-67fcb.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/egg-cracker-tool-multicolor-egg/632659787590#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325","Air Fryer Liners 8 Inch Square Disposable 100 Pcs, Non-Stick Oil-Proof Food Grade Parchment Paper Baking Liners, Fit for 5-8 QT Air Fryers, Basket Liner for Oven, Microwave, Steamer Accessories",Rs. 193,4.5,https://g.sdlcdn.com/imgs/l/e/l/Air-Fryer-Liners-8-Inch-SDL468480060-1-2dc97.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/air-fryer-liners-8-inch/642531926199#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325",NISHIDA ACCESSORIES Griller,Rs. 299,4.3,https://g.sdlcdn.com/imgs/k/8/9/NISHIDA-ACCESSORIES-Griller-SDL028711452-1-4c761.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/nishida-accessories-griller/668635883600#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325",6 pcs. Reusable Air Fryer Silicone Pot Liners | Non-Stick Heat-Resistant Basket Baking Trays | Airfryer Oven Accessories | Dishwasher Safe | Multicolor | (Pack of 1),Rs. 199,5.0,https://g.sdlcdn.com/imgs/l/a/e/6-pcs-Reusable-Air-Fryer-SDL967022929-1-2530c.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/6-pcs-reusable-air-fryer/628438350637#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325","Radhe Creation Air Fryer Liners 8 Inch Square Disposable 100 Pcs, Non-Stick Oil-Proof Food Grade Parchment Paper Baking Liners, Fit for 5-8 QT Air Fryers, Basket Liner for Oven, Microwave, Steamer Accessories",Rs. 195,,https://g.sdlcdn.com/imgs/l/d/a/Radhe-Creation-Air-Fryer-Liners-SDL061096013-1-a8012.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/radhe-creation-air-fryer-liners/687193214771#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325","Radhe Creation Square Air Fryer Liners 100 Pack Disposable, 8 Inch Parchment Paper Baking Liners Non-Stick Oil-Proof Food Grade, Fit for 5-8 QT Air Fryer Basket, Oven, Microwave, Steamer Kitchen Accessories",Rs. 191,5.0,,https://www.snapdeal.com/product/radhe-creation-square-air-fryer/646604359411#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:39,Accessories,"Kitchen Tools
325","olive oil sprayer, oil spray bottle, kitchen oil dispenser, cooking oil mister, stainless steel oil sprayer, glass oil dispenser, air fryer oil sprayer, refillable oil bottle, vinegar sprayer, BBQ oil mister, salad dressing sprayer, cooking accessories",Rs. 244,,,https://www.snapdeal.com/product/olive-oil-sprayer-oil-spray/625982244192#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:44,Accessories,"Dining & Serving
101",dustnshine dental floss Leather Toothpick Holder 20 Pcs,Rs. 160,4.0,https://g.sdlcdn.com/imgs/k/z/1/dustnshine-dental-floss-Leather-Toothpick-SDL565689461-1-9640e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/toothpick-holder/677367798092#bcrumbSearch:accessories|bcrumbLabelId:205,1
2026-02-11 10:36:44,Accessories,"Dining & Serving
101",Dynore Round Hole Tissue Holder Stainless Steel Napkin Holder 1 Pcs,Rs. 124,3.8,https://g.sdlcdn.com/imgs/k/y/7/Dynore-Round-Hole-Tissue-Holder-SDL747232050-1-65eda.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/dynore-stainless-steel-napkin-holder/682977308531#bcrumbSearch:accessories|bcrumbLabelId:205,1
